route,routeName,tsm_id,street,locality,city,district,state,country,pincode,class,landline,mobile,fax,email,contact_person,latitude,longitude,Sales Rep name,Territory Manager name,id,external_id,name,stage,retailer_created_date,retailer_created_by,retailer_created_by_name,modified_date,modified_by,deleted_date,deleted_by,CF_Collections Due,Profile Completeness,SR_status,Verified (Y/N),Deptt.,Sub_Deptt.,name,Shop_Code,zxc,zxc
274711,Rohit Kumars Routes,171026,"270, Shop No.1, Najafgarh Road , New Delhi, Delhi",,Delhi,South West Delhi,Delhi,,,,,9717965839,,,Anand,28.6207721,77.0483856,Rohit Kumar,Jitender Rajokharia,3421427,ISOFF589,DSCSC-NAWADA,NA,16-03-2018 15:46,169480,Maneesh Kumar,02-05-2018 14:15,Rohit Kumar,,,,62,Active,,DSCSC,Govt,NAWADA,P0028,#N/A,#N/A
274712,Deepak Sharmas Routes,171026,"Shop No.3 & 11 Community Centre, Naraina Vihar, Ne",,Delhi,South West Delhi,Delhi,,,,,9968261426,,,praveen,28.625725,77.1426028,Deepak Sharma,Jitender Rajokharia,3421325,ISOFF487,DSCSC-NARAINA VIHAR,NA,16-03-2018 15:46,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,62,Active,,DSCSC,Govt,NARAINA VIHAR,P0029,#N/A,#N/A
274712,Deepak Sharmas Routes,171026,"39-40, Main Market, Moti Nagar , New Delhi, Delhi",,Delhi,Central Delhi,Delhi,India,,,,,,,,0,0,Deepak Sharma,Jitender Rajokharia,3421385,ISOFF547,DCCWS-MOTI NAGAR,NA,16-03-2018 15:46,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,13,Active,,DCCWS,Govt,MOTI NAGAR,P0031,P0031,
,,170866,"4869, Paras Nath Marg, Bara Tooti, Sadar Bazar, New Delhi, Delhi",Sadar Bazar,Delhi,New Delhi,Delhi,India,,,,,,,,0,0,,Rajan Lajras,3413396,ISOFF64,DSCSC-SADAR BAZAR,NA,15-03-2018 14:21,169480,Maneesh Kumar,03-05-2018 17:56,Maneesh Kumar,,,,13,Inactive,,0,,SADAR BAZAR,P0037,#N/A,#N/A
274506,Rajesh Kumar Chauhans Route,170866,"1/4692-A, Balbir Nagar, Extn., Loni Road , New Del","Balbir Nagar, Extn.",Delhi,North East Delhi,Delhi,,,,,9213406508,,,mahender ji,28.6862523,77.2920496,Rajesh Kumar Chauhan,Rajan Lajras,3413598,ISOFF265,DSCSC-LONI ROAD,NA,15-03-2018 14:21,169480,Maneesh Kumar,06-05-2018 12:45,Rajesh Kumar Chauhan,,,,62,Active,,DSCSC,Govt,LONI ROAD,P0042,#N/A,#N/A
274506,Rajesh Kumar Chauhans Route,170866,"A-96, New Silampur Market , New Delhi, Delhi",New Silampur Market,Delhi,New Delhi,Delhi,,,,,9810760381,,,jogender ji,28.6733738,77.267283,Rajesh Kumar Chauhan,Rajan Lajras,3413587,ISOFF254,DSCSC-NEW SEELAMPUR,NA,15-03-2018 14:21,169480,Maneesh Kumar,14-04-2018 15:35,Rajesh Kumar Chauhan,,,,62,Active,,DSCSC,Govt,NEW SEELAMPUR,P0044,#N/A,#N/A
274511,Vineet Kumar Ranas Route,170867,"Kh.No. 10/6/2, Gt Karnal Road, Singhu Border,Delhi, New Delhi, Delhi",Singhu Border,Delhi,North West Delhi,Delhi,India,,,,,,,,0,0,Vineet Kumar Rana,Sanjeev Kumar,3413914,ISOFF773,DCCWS-SINGHU BORDER,NA,15-03-2018 14:21,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,13,Active,,DCCWS,Govt,SINGHU BORDER,P0778,P0778,"KH.NO. 10/6/2, GT KARNAL ROAD, SINGHU BORDER,DELHI, NEW DELHI, DELHI"
274511,Vineet Kumar Ranas Route,170867,"7 Ideal Truck Parking Centre, Majnu Ka Tila , New ",Majnu Ka Tila,Delhi,North Delhi,Delhi,,,,,9755468521,,,rai ,28.7080309,77.2251873,Vineet Kumar Rana,Sanjeev Kumar,3413474,ISOFF142,Majnu Ka Tila,NA,15-03-2018 14:21,169480,Maneesh Kumar,29-04-2018 14:15,Vineet Kumar Rana,,,,62,Active,,DSCSC,Govt,Majnu Ka Tila,P0052,#N/A,#N/A
274505,Anil Sharmas Route,170866,"K.N.394, Gt Road, Siraspur , New Delhi, Delhi",Sirsapur,Delhi,South West Delhi,Delhi,India,,,,,,,,,,Anil Sharma,Rajan Lajras,3413467,ISOFF135,Bhagirath Place,NA,15-03-2018 14:21,169480,Maneesh Kumar,12-04-2018 14:54,Maneesh Kumar,,,,18,Active,,DSCSC,Govt,Bhagirath Place,P0061,#N/A,#N/A
274512,Manoj Rais Route,170867,"457/1, Main Burari Road, Burari, New Delhi, Delhi",Burari,Delhi,NORTH DELHI,Delhi,,,,,9868423952,,,K.S.Dahiya,28.69972668,77.11977492,Manoj Rai,Sanjeev Kumar,3413958,ISOFF817,DSCSC-ROHINI SEC-8,NA,15-03-2018 14:21,169480,Maneesh Kumar,19-04-2018 18:39,Manoj Rai,,,,62,Active,,DSCSC,Govt,ROHINI SEC-8,P0067,#N/A,#N/A
274505,Anil Sharmas Route,170866,"1-5/B, Asaf Ali Road , New Delhi, Delhi",Asaf Ali Rd,Delhi,Central Delhi,Delhi,,,,,9999180676,,,a k tiwati,28.645397,77.2246431,Anil Sharma,Rajan Lajras,3413341,ISOFF9,DSIIDC-ASAF ALI ROAD,NA,15-03-2018 14:21,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,62,Active,,DSIIDC,Govt,ASAF ALI ROAD,P0081,#N/A,#N/A
274505,Anil Sharmas Route,170866,"Shopno.3582, Darya Ganj , New Delhi, Delhi",Darya Ganj,Delhi,Central Delhi,Delhi,,,,,8527948568,,,vijay kumar,28.6433871,77.2403866,Anil Sharma,Rajan Lajras,3413345,ISOFF13,DSIIDC-DARYA GANJ,NA,15-03-2018 14:21,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,62,Active,,DSIIDC,Govt,DARYA GANJ,P0082,#N/A,#N/A
274711,Rohit Kumars Routes,171026,"Shop No. 5,6&7, Lsc, Nasirpur, New Delhi , New Delhi, Delhi",,Delhi,South Delhi,Delhi,India,,,,,,,,0,0,Rohit Kumar,Jitender Rajokharia,3421460,ISOFF622,DSIIDC-MAHAVIR ENCLAVE,NA,16-03-2018 15:46,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,13,Active,,DSIIDC,Govt,MAHAVIR ENCLAVE,P0088,#N/A,#N/A
274508,Sanjay Kumars Route,170866,"14B, Vasant Lok Vasant Vihar, Dda, Commercial Comp",Vasant Vihar,Delhi,New Delhi,Delhi,,,,,9811203248,,,Arun,28.5586798,77.163928,Sanjay Kumar,Rajan Lajras,3413660,ISOFF327,DSIIDC-VASANT LOK,NA,15-03-2018 14:21,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,62,Active,,DSIIDC,Govt,VASANT LOK,P0099,#N/A,#N/A
274509,Dhiraj Mishras Route,170866,"2Dda Flat, Shopping Centre, Nehru Place , New Delhi, Delhi",Nehru Place,Delhi,New Delhi,Delhi,India,,,,,,,,0,0,Dhiraj Mishra,Rajan Lajras,3413426,ISOFF94,DSIIDC-NEHRU PLACE,NA,15-03-2018 14:21,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,13,Active,,DSIIDC,Govt,NEHRU PLACE,P0102,#N/A,#N/A
274510,Rahul Sharmas Route,170866,"85-A, S.P.Mukerjee, Market, New Rohtak Road , New ",S. P.Mukerjee Market,Delhi,Central Delhi,Delhi,,,,,9871213288,,,Yashpal ji,28.6527295,77.203781,Rahul Sharma,Rajan Lajras,3413451,ISOFF119,DSIIDC-NEW ROHTAK ROAD,NA,15-03-2018 14:21,169480,Maneesh Kumar,14-04-2018 14:02,Rahul Sharma,,,,62,Active,,DSIIDC,Govt,NEW ROHTAK ROAD,P0111,#N/A,#N/A
274511,Vineet Kumar Ranas Route,170867,"Shop No. 1, 2, Deva Market, Bawan Road,Samaypur Ba",Samaypur Badli,Delhi,North West Delhi,Delhi,,,,,9871696157,,,sudhir anand,28.744405,77.1441537,Vineet Kumar Rana,Sanjeev Kumar,3413907,ISOFF766,DSIIDC-SAMAYPUR BADLI,NA,15-03-2018 14:21,169480,Maneesh Kumar,13-04-2018 15:16,Vineet Kumar Rana,,,,62,Active,,DSIIDC,Govt,SAMAYPUR BADLI,P0117,#N/A,#N/A
274712,Deepak Sharmas Routes,171026,"20, Dda Shop. Centre, Karampura, N Delhi Near Natraj Cinema, New Delhi, Delhi",,Delhi,Central Delhi,Delhi,India,,,,,,,,0,0,Deepak Sharma,Jitender Rajokharia,3421382,ISOFF544,Karampura,NA,16-03-2018 15:46,169480,Maneesh Kumar,02-04-2018 13:14,Maneesh Kumar,,,,13,Active,,DSIIDC,Govt,Karampura,P0119,#N/A,#N/A
274710,Jatinder Pal Singhs Routes,171026,"Wz-8, New Mahavir Nagar, Opp. Janakpuri , New Delh",,Delhi,West Delhi,Delhi,,,,,8587866170,,,sushil kumar,28.6328544,77.0852293,Jitender Pal,Jitender Rajokharia,3421356,ISOFF518,DSIIDC-NEW MAHAVIR NAGAR,NA,16-03-2018 15:46,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,62,Active,,DSIIDC,Govt,NEW MAHAVIR NAGAR,P0120,#N/A,#N/A
274711,Rohit Kumars Routes,171026,"A-7, Milan Nagar, Uttam Nagar , New Delhi, Delhi",,Delhi,West Delhi,Delhi,,,,,8506826733,,,Jagdish,28.6241342,77.0639182,Rohit Kumar,Jitender Rajokharia,3421453,ISOFF615,DTTDC-UTTAM NAGAR,NA,16-03-2018 15:46,169480,Maneesh Kumar,18-04-2018 13:56,Rohit Kumar,,,,62,Active,,DTTDC,Govt,UTTAM NAGAR,P0126,#N/A,#N/A
274711,Rohit Kumars Routes,171026,"3,4,5,6-Ground Floor, Bharti Chamber, Community Center, G-Blk, Vikas Puri New Delhi, New Delhi, Delhi",,Delhi,West Delhi,Delhi,India,,,,,,,,0,0,Rohit Kumar,Jitender Rajokharia,3421455,ISOFF617,DTTDC-VIKAS PURI,NA,16-03-2018 15:46,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,13,Active,,DTTDC,Govt,VIKAS PURI,P0129,#N/A,#N/A
274511,Vineet Kumar Ranas Route,170867,"4-10/11 A, Bhandari House, Mukerjee Nagar Com. Com",Mukherjee Nagar,Delhi,North Delhi,Delhi,,,,,8530584568,,,Anil ji,28.7119132,77.2156922,Vineet Kumar Rana,Sanjeev Kumar,3413869,ISOFF728,Mukherjee Nagar,NA,15-03-2018 14:21,169480,Maneesh Kumar,27-04-2018 13:07,Vineet Kumar Rana,,,,62,Active,,DCCWS,Govt,Mukherjee Nagar,P0169,P0169,#N/A
274513,Vinod Singh Khetwals Route,170867,"M-111 & 112, Rajiv Market, Shakurpur, Rani Bagh, N",Shakurpur,Delhi,NORTH DELHI,Delhi,,,,,8130886562,,,ranveer singh,28.6839972,77.1454768,Vinod Singh Khetwal,Sanjeev Kumar,3413957,ISOFF816,DSIIDC-RANI BAGH,NA,15-03-2018 14:21,169480,Maneesh Kumar,28-04-2018 13:07,Vinod Singh Khetwal,,,,62,Active,,DSIIDC,Govt,RANI BAGH,P0139,#N/A,#N/A
274508,Sanjay Kumars Route,170866,"Shop No. 8, Dda Market (Csc), Lado Sarai, New Delh",Lado Sarai,Delhi,New Delhi,Delhi,,,,,9871697577,,,Mukesh,28.5271042,77.1952047,Sanjay Kumar,Rajan Lajras,3413641,ISOFF308,DSIIDC-LADO SARAI,NA,15-03-2018 14:21,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,62,Active,,DSIIDC,Govt,LADO SARAI,P0155,#N/A,#N/A
274505,Anil Sharmas Route,170866,"Shop No.2268/9, Dr. Sen Marg, Near Jublee Cinema , New Delhi, Delhi",Jublee Cinema,Delhi,Central Delhi,Delhi,India,,,,,,,,,,Anil Sharma,Rajan Lajras,3413334,ISOFF2,DCCWS-Chandni Chowk,NA,15-03-2018 14:21,169480,Maneesh Kumar,30-04-2018 11:40,Maneesh Kumar,,,,18,Active,,DCCWS,Govt,Chandni Chowk,P0159,P0159,#N/A
274505,Anil Sharmas Route,170866,"4058.0, Roshanara Road , New Delhi, Delhi",Roshanara Road,Delhi,Central Delhi,Delhi,,,,,9971462430,,,sudarsan,28.6688158,77.2058752,Anil Sharma,Rajan Lajras,3413372,ISOFF40,DCCWS-ROSHANARA ROAD,NA,15-03-2018 14:21,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,62,Active,,DCCWS,Govt,ROSHANARA ROAD,P0175,P0175,#N/A
274712,Deepak Sharmas Routes,171026,"Plot No. 13/3, Najafgarh Road, Indl. Area, Zakhira",,Delhi,New Delhi,Delhi,,,,,7835000805,,,vijay,28.666207,77.163368,Deepak Sharma,Jitender Rajokharia,3421397,ISOFF559,DCCWS-ZAKHIRA,NA,16-03-2018 15:46,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,62,Active,,DCCWS,Govt,ZAKHIRA,P0176,P0176,#N/A
274508,Sanjay Kumars Route,170866,"Shop No. 23, Csc Market, Vasant Enclave Vasant Vihar, New Delhi, New Delhi, Delhi",Vasant Enclave,Delhi,North Delhi,Delhi,India,,,,,,,,0,0,Sanjay Kumar,Rajan Lajras,3413703,ISOFF370,DCCWS-VASANT ENCLAVE,NA,15-03-2018 14:21,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,13,Active,,DCCWS,Govt,VASANT ENCLAVE,P0179,P0179,#N/A
,,170866,"A-14, Padam Nagar,Dda Complex, Delhi-7, New Delhi, Delhi",Padam Nagar,Delhi,Central Delhi,Delhi,India,,,,,,,,,,,Rajan Lajras,3413481,ISOFF149,Padam Nagar,NA,15-03-2018 14:21,169480,Maneesh Kumar,0000-00-00 00:00:00,Maneesh Kumar,,,,18,Inactive,,DCCWS,,Padam Nagar,P0187,P0187,#N/A
274506,Rajesh Kumar Chauhans Route,170866,"Kh.No.26/13, Mandoli , New Delhi, Delhi, 93",Mandoli,Delhi,North East Delhi,Delhi,India,,,,,,,,0,0,Rajesh Kumar Chauhan,Rajan Lajras,3413600,ISOFF267,DTTDC-MANDOLI,NA,15-03-2018 14:21,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,13,Active,,DTTDC,Govt,MANDOLI,P0202,#N/A,#N/A
274508,Sanjay Kumars Route,170866,"Shop No-Ug-6, Som Dutt Chamber Ii, Block-9 Bikaji ",Bikaji Cama Place,Delhi,New Delhi,Delhi,,,,,9911655771,,,Jitender kumar,28.5679532,77.1872248,Sanjay Kumar,Rajan Lajras,3413638,ISOFF305,DSIIDC-BHIKAJI CAMA PLACE,NA,15-03-2018 14:21,169480,Maneesh Kumar,26-04-2018 17:24,Sanjay Kumar,,,,62,Active,,DSIIDC,Govt,BHIKAJI CAMA PLACE,P0215,#N/A,#N/A
274508,Sanjay Kumars Route,170866,"541-542, Shop No.2, Aaya Nagar, Gurgaon, Mehrauli Road, New Delhi, Delhi",Mehrauli Road,Delhi,South Delhi,Delhi,India,,,,,,,,0,0,Sanjay Kumar,Rajan Lajras,3413680,ISOFF347,DTTDC-MUNIRKA,NA,15-03-2018 14:21,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,13,Active,,DTTDC,Govt,MUNIRKA,P0227,#N/A,#N/A
,,170866,"Yusaf Sarai, 48/3, Mool Raj Building Delhi, New Delhi, Delhi",Yusuf Sarai,Delhi,New Delhi,Delhi,India,,,,,,,,0,0,,Rajan Lajras,3413440,ISOFF108,DTTDC-YUSUF SARAI,NA,15-03-2018 14:21,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,13,Inactive,,0,,YUSUF SARAI,P0229,#N/A,#N/A
274712,Deepak Sharmas Routes,171026,"Shop No.28, Naraina,, Delhi, Delhi, 110028",,Delhi,South West Delhi,Delhi,,,,,9560910540,,,pradeep,28.6320386,77.1383487,Deepak Sharma,Jitender Rajokharia,3421323,ISOFF485,DTTDC-NARAINA,NA,16-03-2018 15:46,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,62,Active,,DTTDC,Govt,NARAINA,P0251,#N/A,#N/A
274506,Rajesh Kumar Chauhans Route,170866,"Jagat Puri, Delhi , New Delhi, Delhi",Jagat Puri,Delhi,New Delhi,Delhi,,,,,9717839096,,,shripal ji,0,0,Rajesh Kumar Chauhan,Rajan Lajras,3413588,ISOFF255,DTTDC-SAVITA VIHAR,NA,15-03-2018 14:21,169480,Maneesh Kumar,03-05-2018 18:15,Rajesh Kumar Chauhan,,,,62,Active,,DTTDC,Govt,SAVITA VIHAR,P0253,#N/A,#N/A
,,170866,"Garage No. 60, Gulabi Bagh, New Delhi , New Delhi, Delhi",Gulabi Bagh,Delhi,New Delhi,Delhi,India,,,,,,,,,,,Rajan Lajras,3413484,ISOFF152,Gulabi Bagh,NA,15-03-2018 14:21,169480,Maneesh Kumar,0000-00-00 00:00:00,Maneesh Kumar,,,,18,Inactive,,0,,Gulabi Bagh,P0275,#N/A,"SHOP NO G-2, GF, PLOT NO 09&10, VARDHMAN CAPITAL MALL LSC GULABI BAGH NEAR SHAKT"
274508,Sanjay Kumars Route,170866,"1, Yashwant Place, Shopping Centre, Cannought Plac",Yaswant Place,Delhi,New Delhi,Delhi,,,,,9891056615,,,Jagmohan,28.5849741,77.1917102,Sanjay Kumar,Rajan Lajras,3413663,ISOFF330,DSCSC-YASHWANT PLACE,NA,15-03-2018 14:21,169480,Maneesh Kumar,21-04-2018 18:25,Sanjay Kumar,,,,62,Active,,DSCSC,Govt,YASHWANT PLACE,P0002,#N/A,#N/A
274505,Anil Sharmas Route,170866,"Shop No. 3907 & 3908, Hamilton Road, Mori Gate, De",Mori Gate,Delhi,West Delhi,Delhi,,,,,9811374469,,,vikash sharma,28.6630547,77.2204573,Anil Sharma,Rajan Lajras,3413399,ISOFF67,DTTDC-MORI GATE,NA,15-03-2018 14:21,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,62,Active,,DTTDC,Govt,MORI GATE,P0278,#N/A,#N/A
274506,Rajesh Kumar Chauhans Route,170866,"Basement, Laxmi, Nagar Coffee Home Laxmi Nagar Dis",Laxmi Nagar,Delhi,East Delhi,Delhi,,,,,9871565881,,,mr umed,28.6382569,77.2874716,Rajesh Kumar Chauhan,Rajan Lajras,3413561,ISOFF228,DTTDC-LAXMI NAGAR COFFEE HOME,NA,15-03-2018 14:21,169480,Maneesh Kumar,17-04-2018 12:42,Rajesh Kumar Chauhan,,,,62,Active,,DTTDC,Govt,LAXMI NAGAR COFFEE HOME,P0284,#N/A,#N/A
274712,Deepak Sharmas Routes,171026,"A-7, Dda Market, Shivaji Enclave, Near Shivaji College, Delhi, Delhi, 110027",,Delhi,West Delhi,Delhi,India,,,,,,,,0,0,Deepak Sharma,Jitender Rajokharia,3421375,ISOFF537,DTTDC-SHIVAJI ENCLAVE,NA,16-03-2018 15:46,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,13,Active,,DTTDC,Govt,SHIVAJI ENCLAVE,P0288,#N/A,#N/A
274508,Sanjay Kumars Route,170866,"Ab/E-21, Safdarjung, Enclave, Near Kamal Cinema, N",Safdarjung Enclave,Delhi,New Delhi,Delhi,,,,,9811473132,,,Deepak wadera,28.5660935,77.1992843,Sanjay Kumar,Rajan Lajras,3413653,ISOFF320,DTTDC-SAFDARJUNG ENCLAVE NEAR KAMAL,NA,15-03-2018 14:21,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,62,Active,,DTTDC,Govt,SAFDARJUNG ENCLAVE NEAR KAMAL,P0289,#N/A,#N/A
274511,Vineet Kumar Ranas Route,170867,"Plot No 1, Gt Karnal Road, Main Road, New Delhi, D",Gt Karnal Road,Delhi,North West Delhi,Delhi,,,,,8860145946,,,Ram gopal,28.6995233,77.1845772,Vineet Kumar Rana,Sanjeev Kumar,3413891,ISOFF750,DTTDC-GT KARNAL ROAD,NA,15-03-2018 14:21,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,62,Active,,DTTDC,Govt,GT KARNAL ROAD,P0294,#N/A,#N/A
,,170866,"Shop No. 19, Old Malviya Nagar New Delhi, New Delhi, Delhi",Malviya Nagar,Delhi,South West Delhi,Delhi,India,,,,,,,,0,0,,Rajan Lajras,3413335,ISOFF3,DCCWS-MALVIYA NAGAR,NA,15-03-2018 14:21,169480,Maneesh Kumar,12-04-2018 19:42,Maneesh Kumar,,,,13,Inactive,,0,,MALVIYA NAGAR,P0301,#N/A,"SHOP NO. 19, OLD MALVIYA NAGAR NEW DELHI, NEW DELHI, DELHI"
274510,Rahul Sharmas Route,170866,"P. No. 2661 & 2662, Main Sadar Thana Road, New Del",Sadar Thana,Delhi,Central Delhi,Delhi,,,,,9278032532,,,Ramit ji,28.6561991,77.2119831,Rahul Sharma,Rajan Lajras,3413362,ISOFF30,Krishan Kumar Garg,NA,15-03-2018 14:21,169480,Maneesh Kumar,19-04-2018 12:53,Rahul Sharma,,,,62,Active,,L-7,Pvt,Krishan Kumar Garg,P0329,#N/A,#N/A
274510,Rahul Sharmas Route,170866,"Shop No. 7/3, Dbg Road, Paharganj, New Delhi, Delh",Paharganj,Delhi,Central Delhi,Delhi,,,,,9810612324,,,Vipin kalra,28.645399,77.2118465,Rahul Sharma,Rajan Lajras,3413340,ISOFF8,Anju Kalra,NA,15-03-2018 14:21,169480,Maneesh Kumar,15-04-2018 13:50,Rahul Sharma,,,,62,Active,,L-7,Pvt,Anju Kalra,P0334,#N/A,#N/A
